Title,Abstract,Year,Authors,DOI,Source,Keywords,Database,Document_Type
"Achieving sustainability through smart city applications: protocols, systems and solutions using IoT and wireless sensor network",,2020,Maneesha Vinodini RameshRekha PrabhaHemalatha ThirugnanamAryadevi Remanidevi DevidasDhanesh RajSruthy AnandRahul Krishnan Pathinarupothi,10.1007/s40012-020-00285-5,CSI Transactions on ICT,,SpringerNature,Article
Developing a process-oriented approach towards Positive Energy Blocks: the wind-analysis contribution,,2021,Maurizio Sibilla,10.1186/s40410-021-00141-2,"City, Territory and Architecture",,SpringerNature,Article
Categorisation of building data in the digital documentation of heritage buildings,,2020,Ahmed KhalilSpyridon StravoravdisDietmar Backes,10.1007/s12518-020-00322-7,Applied Geomatics,,SpringerNature,Article
Development of a BIM-based holonic system for real-time monitoring of building operational efficiency,,2019,Alessandro CarbonariLeonardo MessiBerardo NaticchiaMassimo VaccariniMassimiliano Pirani,10.1007/s42524-019-0037-0,Frontiers of Engineering Management,,SpringerNature,Article
"Emerging industry 4.0 and Internet of Things (IoT) technologies in the Ghanaian construction industry: sustainability, implementation challenges, and benefits",,2022,Rashid MaqboolMohammed Rayan SaibaSaleha Ashfaq,10.1007/s11356-022-24764-1,Environmental Science and Pollution Research,,SpringerNature,Article
Empirical analysis of industry 4.0 and the circular economy in accelerating the SDGs in G20 economies,,2025,Vikas GargPooja KaushikSandeep Singh,10.1186/s42162-025-00581-x,Energy Informatics,,SpringerNature,Article
What is at the Root of Construction 4.0: A Systematic Review of the Recent Research Effort,,2020,Conrad BotonLouis RivestOussama GhnayaMoataz Chouchen,10.1007/s11831-020-09457-7,Archives of Computational Methods in Engineering,,SpringerNature,Article
Methodological-Technological Framework for Construction 4.0,,2020,F. Muñoz-La RiveraJ. Mora-SerranoI. ValeroE. Oñate,10.1007/s11831-020-09455-9,Archives of Computational Methods in Engineering,,SpringerNature,Article
Fog Computing Applications in Smart Cities: A Systematic Survey,,2019,Ghazaleh JavadzadehAmir Masoud Rahmani,10.1007/s11276-019-02208-y,Wireless Networks,,SpringerNature,Article
Embedding physical neurons in physics-informed neural networks (EP-PINNs) for enhancing chiller performance prediction,,2025,Junjian FangChengchu YanWeidong LuJingfeng ShiLei XuKai HuYuanhui JiChaoqun Zhuang,10.1007/s12273-025-1293-z,Building Simulation,,SpringerNature,Article
Architecting dynamic cyber-physical spaces,,2016,Christos TsigkanosTimo KehrerCarlo Ghezzi,10.1007/s00607-016-0509-6,Computing,,SpringerNature,Article
Resilient dependable cyber-physical systems: a middleware perspective,,2012,Grit DenkerNikil DuttSharad MehrotraMark-Oliver StehrCarolyn TalcottNalini Venkatasubramanian,10.1007/s13174-011-0057-4,Journal of Internet Services and Applications,,SpringerNature,Article
GA-based actuator control method for minimizing power consumption in cyber physical systems,,2012,Sheng-Tzong ChengJia-Shing ShihTun-Yu Chang,10.1007/s10489-012-0358-8,Applied Intelligence,,SpringerNature,Article
Energy Informatics,,2013,Christoph GoebelHans-Arno JacobsenVictor del RazoChristoph DoblanderJose RiveraJens IlgChristoph FlathHartmut SchmeckChristof WeinhardtDaniel PathmaperumaHans-Jürgen AppelrathMichael SonnenscheinSebastian LehnhoffOliver KramerThorsten StaakeElgar FleischDirk NeumannJens StrükerKoray ErekRüdiger ZarnekowHolger ZiekowJörg Lässig,10.1007/s12599-013-0304-2,Business & Information Systems Engineering,,SpringerNature,Article
"Smart manufacturing: Past research, present findings, and future directions",,2016,Hyoung Seok KangJu Yeon LeeSangSu ChoiHyun KimJun Hee ParkJi Yeon SonBo Hyun KimSang Do Noh,10.1007/s40684-016-0015-5,International Journal of Precision Engineering and Manufacturing-Green Technology,,SpringerNature,Article
IoT as a applications: cloud-based building management systems for the internet of things,,2015,Jaehak YuMarie KimHyo-Chan BangSang-Hyun BaeSe-Jin Kim,10.1007/s11042-015-2785-0,Multimedia Tools and Applications,,SpringerNature,Article
Using autonomous intelligence to build a smart shop floor,,2017,Dunbing TangKun ZhengHaitao ZhangZequn ZhangZelei SangTao ZhangJavier-Alfonso Espinosa-OviedoGenoveva Vargas-Solar,10.1007/s00170-017-0459-y,The International Journal of Advanced Manufacturing Technology,,SpringerNature,Article
From place to space: the emergence and evolution of sustainable entrepreneurial ecosystems in smart cities,,2023,Indu KhuranaDev K. Dutta,10.1007/s11187-023-00765-3,Small Business Economics,,SpringerNature,Article
Enhancing timeliness and saving power in real-time databases,,2018,Kyoung-Don Kang,10.1007/s11241-018-9302-2,Real-Time Systems,,SpringerNature,Article
Digital Economy as a Factor in the Technological Development of the Mineral Sector,,2019,V. S. Litvinenko,10.1007/s11053-019-09568-4,Natural Resources Research,,SpringerNature,Article
Towards High Impact Smart Cities: a Universal Architecture Based on Connected Intelligence Spaces,,2021,Nicos KomninosChristina KakderiLuca MoraAnastasia PanoriElena Sefertzi,10.1007/s13132-021-00767-0,Journal of the Knowledge Economy,,SpringerNature,Article
CityGML 3.0: New Functions Open Up New Applications,,2020,Tatjana KutznerKanishk ChaturvediThomas H. Kolbe,10.1007/s41064-020-00095-z,"PFG – Journal of Photogrammetry, Remote Sensing and Geoinformation Science",,SpringerNature,Article
Preparing construction supply chains for blockchain technology: An investigation of its potential and future directions,,2020,Algan TezelEleni PapadonikolakiIbrahim YitmenPer Hilletofth,10.1007/s42524-020-0110-8,Frontiers of Engineering Management,,SpringerNature,Article
“Chatty Devices” and edge-based activity classification,,2021,Mike LakojuAmir JavedOmer RanaPete BurnapSamuelson T. AtibaSoumaya Cherkaoui,10.1007/s43926-021-00004-9,Discover Internet of Things,,SpringerNature,Article
Physics-Guided Machine Learning and Deep Neural Networks for Accurate and Robust Heat Transfer Predictions in Shell&#xa0;and&#xa0;Helical Coil&#xa0;Heat Exchangers,,2025,Ali Hussein AbdulkarimOrhan NooruldeenAhmed GhareebDoğan AkgülHatice MercanAhmet Selim Dalkilic,10.1007/s13369-025-10601-3,Arabian Journal for Science and Engineering,,SpringerNature,Article
A Prospective Technique for Damage Detection in Truss Structures Using the Fusion of DNN with AVOA,,2024,Quyet Huu NguyenThang Xuan LeDang Le Minh NguyenThanh Tien BuiNhung Cam NguyenHoa Ngoc Tran,10.1007/s12205-024-1968-5,KSCE Journal of Civil Engineering,,SpringerNature,Article
DSM-CoCoSo Technique for Intuitionistic Fuzzy Multiple-Attribute Group Decision-Making and Applications to Construction Engineering Quality Management Evaluation,,2025,Xu ChenWei Ji,10.1007/s40815-025-02133-7,International Journal of Fuzzy Systems,,SpringerNature,Article
Energy and thermal modelling of an office building to develop an artificial neural networks model,,2022,Jose Maria Santos-HerreroJose Manuel Lopez-GuedeIvan Flores AbascalEkaitz Zulueta,10.1038/s41598-022-12924-9,Scientific Reports,,SpringerNature,Article
Establishment of secure and authentic data security framework in wireless sensor network using key reconciliation,,2024,Suman DeviAvadhesh Kumar,10.1007/s41870-024-01879-x,International Journal of Information Technology,,SpringerNature,Article
From use cases to business cases: I-GReta use cases portfolio analysis from innovation management and digital entrepreneurship models perspectives,,2024,Elena MalakhatkaManuel PitzMarwa MaghnieMohammadreza MazidiRadu PlamanescuChristof SumerederThomas PrüferHolger WallbaumDirk MüllerAntonello Monti,10.1186/s42162-024-00310-w,Energy Informatics,,SpringerNature,Article
"Predicting the success possibility of internet of things and cloud computing implementation in the construction sector: a case study from Gujarat, India",,2025,Arpit SolankiDebasis Sarkar,10.1007/s42107-025-01410-y,Asian Journal of Civil Engineering,,SpringerNature,Article
A deep learning approach to improve built asset operations and disaster management in critical events: an integrative simulation model for quicker decision making,,2023,Carlos Galera-ZarcoGoulielmos Floros,10.1007/s10479-023-05247-z,Annals of Operations Research,,SpringerNature,Article
Unlocking the potential of digital twins to achieve sustainability in seaports: the state of practice and future outlook,,2024,S. Mahdi HomayouniJorge Pinho de SousaCatarina Moreira Marques,10.1007/s13437-024-00349-2,WMU Journal of Maritime Affairs,,SpringerNature,Article
Example-based dynamic façade design using the facade daylighting performance improvement (FDPI) indicator,,2023,Luka AkimovAndrey BezborodovVladimir Badenko,10.1007/s12273-023-1073-6,Building Simulation,,SpringerNature,Article
Digital technologies for net-zero energy transition: a preliminary study,,2023,Liwei CaoPeiyu HuXiang LiHui SunJinrui ZhangChuan Zhang,10.1007/s43979-023-00047-7,Carbon Neutrality,,SpringerNature,Article
ODDTCN energy modeling: a meta-heuristic-aided energy performance designing and consumption forecasting in existing building environment,,2023,Laxmi GuptaR. L. Sharma,10.1007/s42107-023-00907-8,Asian Journal of Civil Engineering,,SpringerNature,Article
Digital Innovations in Wooden Construction for a Circular Economy,,2025,Erkki-Jussi NylénAntje Klitkou,10.1007/s43615-025-00667-4,Circular Economy and Sustainability,,SpringerNature,Article
Collaborative Digital Twins: The Case of the Energy Communities,,2023,Kankam O. Adu-KankamLuís M. Camarinha-Matos,10.1007/s42979-023-02050-2,SN Computer Science,,SpringerNature,Article
Scientometric analysis and panoramic review on life cycle assessment in the construction industry,,2024,Kamarthi AparnaK. Baskar,10.1007/s41062-024-01402-y,Innovative Infrastructure Solutions,,SpringerNature,Article
Construction and application of smart factory digital twin system based on DTME,,2022,Luyao XiaJianfeng LuHao ZhangMengying XuZhaojia Li,10.1007/s00170-022-08971-1,The International Journal of Advanced Manufacturing Technology,,SpringerNature,Article
Digital twins: digitalization of automated container terminals in seaports,,2025,Yu CaoQingcheng ZengHercules HaralambidesZixin WangAng Yang,10.1057/s41278-025-00315-6,Maritime Economics & Logistics,,SpringerNature,Article
Automation in Monitoring of Construction Projects Through BIM-IoT-Blockchain Model,,2023,Debasis SarkarDhaval DhaneshwarPurvesh Raval,10.1007/s40030-023-00727-8,Journal of The Institution of Engineers (India): Series A,,SpringerNature,Article
Parameter estimation for building energy models using GRcGAN,,2022,Hansol ShinCheol-Soo Park,10.1007/s12273-022-0965-1,Building Simulation,,SpringerNature,Article
Design parameter optimization method for a prestressed steel structure driven by multi-factor coupling,,2024,Guo-Liang ShiZhan-Sheng LiuDe-Chun LuQing-Wen ZhangMajid DezhkamZe-Qiang Wang,10.1007/s11709-024-1084-0,Frontiers of Structural and Civil Engineering,,SpringerNature,Article
Developing a Unified Framework for Data Sharing in the Smart Construction Using Text Analysis,,2022,Hong XueTongrui ZhangQian WangShanshan LiuKeyu Chen,10.1007/s12205-022-2037-6,KSCE Journal of Civil Engineering,,SpringerNature,Article
Critical competencies for integration of digital technologies in managing PPP projects,,2024,Uzor OnyiaUchechukwu Nwankwo,10.1007/s44290-024-00094-8,Discover Civil Engineering,,SpringerNature,Article
